,ticker,setor,ano_tri,data_base,preco,upside,upside_tri,roc,roc_tri,roe,roe_tri,roic,p_vp,p_l,p_ebit,ev_ebitda,enterprise_value,earning_yield,margem_bruta,margem_ebit,margem_liquida,endividamento,dividend_yield,volume
0,CGAS5,químico,20224T,2023-04-03,126.5,0.43545563,0.53810357,0.29824487,0.29729969,1.75402928,1.97252199,0.33990346,16.2322,9.2542,6.1546,8.2618,22503238.0,0.12103947,0.19823227,0.15641186,0.10402338,5.55736367,0.1117125,75.756
1,RNEW4,energia,20224T,2023-04-03,1.7,-2.37556147,-3.48545012,0.40840769,1.29028526,0.8530762,3.29446453,0.52437657,0.4656,0.5458,0.4231,1.2848,1356921.0,0.73881324,0.28335344,4.85705634,3.76506155,1.02397026,0.0,104.861
2,RNEW3,energia,20224T,2023-04-03,1.65,-2.41724515,-3.56076679,0.40840769,1.29028526,0.8530762,3.29446453,0.52437657,0.4519,0.5297,0.4106,1.273,1344447.0,0.74566818,0.28335344,4.85705634,3.76506155,1.02397026,0.0,51.196
3,RNEW11,energia,20224T,2023-04-03,5.03,-2.39470447,-3.52003889,0.40840769,1.29028526,0.8530762,3.29446453,0.52437657,0.4592,0.5383,0.4173,1.2793,1351099.0,0.74199646,0.28335344,4.85705634,3.76506155,1.02397026,0.0,3.481
4,BBSE3,seguro,20224T,2023-04-03,32.21,-0.22518379,-0.0965501,0.0,0.0,0.79574653,0.95132437,0.0,8.4662,10.6394,9.1277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06104372,120457.568
5,SUZB3,madeira-papel,20224T,2023-04-03,42.74,1.23932459,1.76990176,0.21167,0.2780849,0.70537989,0.89957281,0.20626122,1.6913,2.3977,2.5242,3.832,113616771.0,0.1955942,0.50189009,0.44596346,0.46948511,1.73434746,0.07399588,290292.804
6,KEPL3,indústria,20224T,2023-04-03,17.29,1.59780454,1.93532434,1.16684757,1.2922366,0.64036031,0.75685703,0.67455769,2.586,4.0383,2.9808,2.5125,1377497.0,0.37615187,0.36475853,0.28541793,0.21067962,-0.279634,0.11560337,14375.588
7,BEEF3,proteína,20224T,2023-04-03,10.12,0.0456908,-0.77633163,0.29277215,0.24049015,0.61653372,-0.09669316,0.16341224,5.5714,9.0366,2.4428,4.4453,12614557.0,0.1920983,0.18521079,0.07822497,0.02114626,6.30121648,0.05542283,99275.444
8,UNIP6,químico,20224T,2023-04-03,69.25,1.42488556,0.50712633,0.73106509,0.27462462,0.56650291,0.25191003,0.63523027,3.0431,5.3717,3.0112,2.7194,7145305.0,0.33312198,0.44774735,0.32738997,0.18352524,-0.00943518,0.18909589,15409.171
9,UNIP3,químico,20224T,2023-04-03,66.0,1.54429281,0.58134088,0.73106509,0.27462462,0.56650291,0.25191003,0.63523027,2.9003,5.1196,2.8699,2.5914,6808922.0,0.34957925,0.44774735,0.32738997,0.18352524,-0.00943518,0.19840743,1931.873
10,EPAR3,madeira-papel,20224T,2023-04-03,9.99,1.35527045,10.2886743,0.51120824,1.15661108,0.55238278,1.39055943,0.47324651,1.2924,2.3397,1.5238,1.9747,205910.0,0.47313372,0.16932252,0.08966434,0.05839691,0.50017412,0.0,22.995
11,PETR4,petróleo,20224T,2023-04-03,24.49,5.13078436,9.50821456,0.3657909,0.28746139,0.51869588,0.47753887,0.45614707,0.8767,1.6902,1.0857,1.5008,543969730.0,0.54094003,0.52100877,0.4588729,0.29474188,0.61613403,0.60918163,1790236.305
12,PETR3,petróleo,20224T,2023-04-03,27.75,4.41055528,8.27373602,0.3657909,0.28746139,0.51869588,0.47753887,0.45614707,0.9934,1.9152,1.2302,1.6181,586494790.0,0.50171801,0.52100877,0.4588729,0.29474188,0.61613403,0.53761651,335880.484
13,TASA4,indústria,20224T,2023-04-03,16.39,1.25485431,1.19777948,0.55792613,0.45809413,0.50768235,0.47267853,0.50305596,2.0264,3.9915,2.7279,2.8492,2257000.0,0.33710672,0.45685607,0.29954477,0.20471642,0.17716902,0.09358439,10428.388
14,TASA3,indústria,20224T,2023-04-03,15.91,1.3228826,1.26408583,0.55792613,0.45809413,0.50768235,0.47267853,0.50305596,1.9671,3.8746,2.648,2.7724,2196216.0,0.3464368,0.45685607,0.29954477,0.20471642,0.17716902,0.09640781,392.006
15,BRAP4,mineração,20224T,2023-04-03,26.88,-0.95553951,-0.93914391,0.51580642,0.3735216,0.49855216,0.40072163,0.48767935,1.4132,2.8346,2.8978,2.7857,10157737.0,0.35897553,0.0,0.0,0.0,-0.05466095,0.10839245,41690.667
16,BRAP3,mineração,20224T,2023-04-03,24.53,-0.95128014,-0.93331384,0.51580642,0.3735216,0.49855216,0.40072163,0.48767935,1.2896,2.5868,2.6444,2.5324,9233960.0,0.3948879,0.0,0.0,0.0,-0.05466095,0.11877656,628.046
17,VALE3,mineração,20224T,2023-04-03,80.31,0.59583535,0.45968769,0.25200458,0.20891108,0.4943046,0.40352191,0.34577987,1.8737,3.7906,4.0429,3.8091,406477656.0,0.2222164,0.45169707,0.3987762,0.4253139,0.21190493,0.09353504,1079206.602
18,RSUL4,indústria,20224T,2023-04-03,68.9,0.42897933,0.53018728,0.47612584,0.56572204,0.46768071,0.51467597,0.67069895,2.8602,6.1158,3.9677,3.4784,378939.0,0.27214383,0.36017783,0.26199047,0.16997142,-0.21137029,0.0,171.184
19,LOGN3,transporte,20224T,2023-04-03,37.77,-0.46527488,-0.06444789,0.16376879,0.23381062,0.4645426,1.31791863,0.16689369,4.5401,9.7733,9.9374,8.5306,4914157.0,0.08140562,0.2359106,0.19353184,0.19678285,1.07214024,0.0,2481.067
20,ATOM3,financeiro,20224T,2023-04-03,2.98,-0.00093878,-1.35991691,1.1582893,-0.64593831,0.42728048,-0.1597613,0.40174766,3.0238,7.0769,7.5266,5.0174,47289.0,0.1993081,0.97467543,0.2625787,0.27926673,-1.00809889,0.02029925,103.585
21,KLBN11,madeira-papel,20224T,2023-04-03,18.23,0.68948362,0.86582597,0.18297171,0.12111882,0.40532462,0.27303107,0.17107609,1.7309,4.2705,2.9929,5.1219,41062320.0,0.16293755,0.4749662,0.33398365,0.23406247,1.81862165,0.08290043,74260.664
22,KLBN4,madeira-papel,20224T,2023-04-03,3.66,0.68302112,0.85868893,0.18297171,0.12111882,0.40532462,0.27303107,0.17107609,1.7376,4.2869,3.0044,5.1315,41139209.0,0.16263302,0.4749662,0.33398365,0.23406247,1.81862165,0.08258333,16749.078
23,KLBN3,madeira-papel,20224T,2023-04-03,3.66,0.68302112,0.85868893,0.18297171,0.12111882,0.40532462,0.27303107,0.17107609,1.7376,4.2869,3.0044,5.1315,41139209.0,0.16263302,0.4749662,0.33398365,0.23406247,1.81862165,0.08258333,2842.697
24,CURY3,construção,20224T,2023-04-03,12.67,0.06392106,0.14979152,0.4042083,0.46648752,0.39697043,0.44331175,0.31605919,4.1845,10.541,8.5528,7.8345,3364473.0,0.12763992,0.37075011,0.19024593,0.15436182,-0.35139698,0.04083955,22541.768
25,ODPV3,saúde,20224T,2023-04-03,10.96,-0.09682875,-0.31550723,0.53546033,0.43760193,0.38072893,0.32050462,0.48383154,5.1156,13.4364,10.5731,9.6268,5833719.0,0.09832339,0.61499446,0.30150566,0.23725598,-0.19479924,0.02799449,18465.685
26,CCRO3,transporte,20224T,2023-04-03,12.64,-0.48737851,0.34707571,0.2605141,0.06756276,0.35627752,-0.05265475,0.24751985,2.1596,6.0617,2.525,3.9622,46287341.0,0.21846528,0.58368623,0.5271786,0.21959378,1.75547491,0.03038664,112149.309
27,LEVE3,indústria,20224T,2023-04-03,30.54,0.21327371,-0.10418514,0.38209422,0.31417445,0.3559788,0.30924756,0.35290688,2.4805,6.968,5.4351,4.8409,3954323.0,0.18232428,0.26826419,0.17068274,0.13313352,0.02264969,0.13876106,7870.091
28,FESA4,siderurgico,20224T,2023-04-03,53.47,0.70710261,-0.48582199,0.42007779,0.2127076,0.34939608,0.19993114,0.34359591,1.4963,4.2826,3.9192,3.1355,4020529.0,0.28876024,0.46286129,0.36985125,0.33847359,-0.17415017,0.09862486,12966.53
29,PRIO3,petróleo,20224T,2023-04-03,32.4,0.14993146,-0.4247746,0.3996079,0.27153288,0.34644825,0.37472964,0.20487887,2.779,8.0214,7.0195,5.6807,27099809.0,0.14451072,0.66900114,0.61542051,0.53855354,-0.03944645,0.0,705119.365
30,RANI3,madeira-papel,20224T,2023-04-03,8.76,0.59990952,0.45910394,0.26817388,0.23780434,0.33616127,0.3054667,0.19876974,1.8971,5.6433,3.6808,4.2135,2877335.0,0.20152777,0.47909426,0.34379243,0.22423527,0.66036522,0.07439484,20234.244
31,CAMB3,consumo,20224T,2023-04-03,5.67,0.64879085,-0.07324811,0.29152773,0.28246571,0.3316074,0.30129445,0.315377,1.4008,4.2243,2.6879,3.4034,338676.0,0.26330793,0.44981199,0.20248681,0.12884306,0.57841802,0.03381731,53.254
32,PTBL3,indústria,20224T,2023-04-03,5.96,0.95779882,-1.34422438,0.21754918,0.11453826,0.32767676,0.07838303,0.23263363,1.7185,5.2446,2.5552,3.5214,1430456.0,0.21968165,0.43047397,0.14305445,0.06969833,1.34294501,0.05838799,4752.382
33,JBSS3,proteína,20224T,2023-04-03,17.3,2.43198425,-0.67495262,0.16723212,0.06752084,0.32526805,0.17783357,0.17329548,0.7704,2.3685,1.5576,3.3884,116865925.0,0.21080742,0.15867098,0.06572255,0.04322045,1.57587225,0.11628139,192954.569
34,PLPL3,construção,20224T,2023-04-03,5.53,0.62824566,1.27830664,0.16574938,0.26648836,0.32413651,0.55428356,0.17187838,2.6914,8.3033,6.8,7.9254,1293508.0,0.12514268,0.28811122,0.10847906,0.088839,0.47135326,0.02914695,3811.001
35,EGIE3,energia,20224T,2023-04-03,39.66,-0.37611913,-0.80752637,0.18352523,0.1881963,0.31570068,0.4220895,0.22485297,3.834,12.1444,5.5787,6.9924,47480866.0,0.12216677,0.46941954,0.48717363,0.22378906,1.79157155,0.07064439,91237.998
36,ASAI3,supermercado,20224T,2023-04-03,14.77,0.22516025,0.68006672,0.14525994,0.17696228,0.31314168,0.41683778,0.17286347,5.1148,16.3337,6.992,6.9469,26676173.0,0.10683691,0.16439839,0.05227439,0.02237711,1.73228953,0.0084307,260244.84
37,RECV3,petróleo,20224T,2023-04-03,20.61,1.47525402,1.48362414,0.34983555,0.34230277,0.30268741,0.4289608,0.28172338,1.5842,5.2337,4.7977,3.189,5080866.0,0.24763497,0.484394,0.42279092,0.38757212,-0.25078323,0.0340114,113621.442
38,CPFE3,energia,20224T,2023-04-03,31.67,0.52336751,0.82267084,0.18155975,0.22964894,0.29753875,0.31357979,0.23835861,2.0805,6.9924,3.5668,4.6705,57271920.0,0.17863756,0.30076795,0.25996987,0.13261121,1.18472568,0.10611503,37943.367
39,TFCO4,varejo,20224T,2023-04-03,10.45,-0.90854752,-0.87722426,0.33961937,0.46445223,0.29379157,0.42308911,0.29835476,30.0765,102.3737,78.8622,68.5502,9905842.0,0.01264082,0.57588126,0.22067723,0.16999574,0.0940462,0.00100061,2069.605
40,PRNR3,indústria,20224T,2023-04-03,7.43,1.61667568,1.21872786,0.36634191,0.33638449,0.29280941,0.22324835,0.27563296,1.2432,4.2459,2.6394,2.4246,317030.0,0.32948978,0.24410997,0.1284066,0.07982112,0.18635294,0.04458049,2351.932
41,LUPA3,petróleo,20224T,2023-04-03,3.84,-4.34367942,-6.55430087,-0.11942961,-0.29053107,0.29229753,1.74078612,-0.17237884,0.635,2.1725,-2.0138,-5.2677,261678.0,-0.22618678,0.22870731,-0.53617175,0.49701966,0.75907536,0.0,3373.652
42,WEGE3,indústria,20224T,2023-04-03,39.59,-0.72782755,-0.648122,0.33241184,0.3699762,0.28021855,0.31978951,0.27002215,10.8944,38.8783,32.8851,29.3029,164598832.0,0.0306903,0.29077304,0.16892272,0.14288285,-0.09988855,0.01136221,354770.141
43,VULC3,consumo,20224T,2023-04-03,11.82,0.02750053,0.20178822,0.2177313,0.30236076,0.27451844,0.50074949,0.20835678,1.6969,6.1814,6.5488,5.9425,3124686.0,0.14195571,0.36951583,0.17484359,0.18523526,0.12842776,0.03130294,3992.01
44,SLCE3,agrícola,20224T,2023-04-03,45.32,0.9585588,0.50577881,0.24265606,0.12906979,0.27300144,0.10818735,0.30000983,1.891,6.9268,3.6959,4.2778,11477737.0,0.21827412,0.32652698,0.26124805,0.13939243,0.4530842,0.06030548,29963.82
45,CXSE3,seguro,20224T,2023-04-03,8.56,0.19595545,0.42553146,0.0,0.0,0.27117363,0.34851841,0.0,2.3583,8.6967,7.7316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07576752,19449.685
46,DEXP3,químico,20224T,2023-04-03,7.83,1.19545862,1.3887135,0.29958498,0.25452215,0.2614979,0.24117427,0.28074204,1.0658,4.0756,2.6234,2.7589,842068.0,0.33192328,0.1832694,0.13321621,0.08575107,0.15815452,0.05714792,2294.53
47,CMIN3,mineração,20224T,2023-04-03,4.72,0.18933379,0.33344174,0.32286786,0.36286096,0.25894737,0.30592341,0.24015213,2.2724,8.7757,5.4477,4.789,27550309.0,0.17250518,0.46632263,0.35807482,0.22228546,0.14565503,0.16544116,37438.222
48,VITT3,agrícola,20224T,2023-04-03,11.15,-0.04580686,-0.12810958,0.24251072,0.25314261,0.25411318,0.33952284,0.21659784,2.7339,10.7584,8.7533,8.9002,1753520.0,0.10337438,0.38354611,0.21295925,0.17326898,0.28742003,0.01173943,6163.643
49,GGBR4,siderurgico,20224T,2023-04-03,25.4,1.75090752,0.60599562,0.30594232,0.1712981,0.24794817,0.10526735,0.30135434,0.9156,3.6926,2.3879,2.4038,49561919.0,0.35816718,0.22752762,0.21539834,0.13929431,0.15491732,0.13898928,194739.823
50,GGBR3,siderurgico,20224T,2023-04-03,22.2,2.14743473,0.83749048,0.30594232,0.1712981,0.24794817,0.10526735,0.30135434,0.8002,3.2274,2.0871,2.1448,44221506.0,0.40142127,0.22752762,0.21539834,0.13929431,0.15491732,0.15902377,537.739
51,GOAU4,siderurgico,20224T,2023-04-03,11.92,2.31933087,0.93545761,0.3047178,0.16947066,0.24238738,0.1021233,0.2953287,0.2606,1.0751,0.6967,0.9041,18584912.0,0.95180196,0.22752762,0.21464242,0.13908478,0.13240955,0.42363613,94330.35
52,GOAU3,siderurgico,20224T,2023-04-03,11.14,2.55174363,1.0709744,0.3047178,0.16947066,0.24238738,0.1021233,0.2953287,0.2435,1.0048,0.6511,0.8649,17778517.0,0.99497368,0.22752762,0.21464242,0.13908478,0.13240955,0.45329826,911.341
53,SHUL4,indústria,20224T,2023-04-03,4.34,0.51449509,0.95582924,0.27252259,0.32549022,0.24216388,0.34000048,0.19392582,1.3902,5.7409,4.0898,3.9661,1735995.0,0.21830192,0.25960446,0.18106265,0.12899001,0.16690212,0.01250515,1530.786
54,WIZC3,financeiro,20224T,2023-04-03,5.89,-0.27148054,-0.48724489,0.22938775,0.18912196,0.23550084,0.15877906,0.27886168,1.0409,4.4198,2.6366,2.8376,1034793.0,0.34521497,0.57957769,0.37646962,0.22457961,0.10270865,0.12591762,5390.504
55,BAZA3,banco,20224T,2023-04-03,67.94,1.09420994,1.20262295,0.0,0.0,0.23181696,0.24400068,0.0,0.7867,3.3935,1.9253,0.0,0.0,0.0,0.33145049,0.6178685,0.35053559,0.0,0.05333558,109.882
56,JALL3,agrícola,20233T,2023-04-03,6.71,2.37166813,1.75946205,0.04567219,0.43477735,0.22273029,0.84834757,0.04020068,0.9304,4.1774,9.4578,7.0751,4056719.0,0.05153893,-0.12535939,0.11524787,0.26092402,0.97837489,0.16965512,10586.998
57,TAEE11,energia,20224T,2023-04-03,34.65,-0.93571189,-1.01726909,0.15409923,0.05657382,0.22056469,0.01389001,0.16577332,1.8167,8.2368,4.8896,7.7382,19009901.0,0.12842192,0.80949942,0.93302967,0.55387181,1.07648426,0.14010219,85090.087
58,TAEE4,energia,20224T,2023-04-03,11.58,-0.93587844,-1.01722435,0.15409923,0.05657382,0.22056469,0.01389001,0.16577332,1.8215,8.2582,4.9023,7.7508,19040906.0,0.12821281,0.80949942,0.93302967,0.55387181,1.07648426,0.13973923,6269.782
59,TAEE3,energia,20224T,2023-04-03,11.56,-0.93576751,-1.01725415,0.15409923,0.05657382,0.22056469,0.01389001,0.16577332,1.8183,8.2439,4.8938,7.7424,19020236.0,0.12835214,0.80949942,0.93302967,0.55387181,1.07648426,0.13998099,2441.22
60,POSI3,tecnologia,20224T,2023-04-03,7.46,2.10600719,6.59874775,0.23537507,0.34139487,0.21784302,0.38943057,0.21274,0.7416,3.4042,1.6684,3.1828,2148322.0,0.290969,0.23967568,0.12518838,0.06135441,0.7860295,0.04825812,13165.092
61,VIVA3,consumo,20224T,2023-04-03,21.49,-0.40010709,0.0687947,0.18746292,0.3590913,0.21765054,0.38059777,0.19986742,3.0539,14.0311,13.4526,10.1429,4973182.0,0.07568039,0.68893171,0.20413579,0.19571923,-0.05429499,0.00250993,43125.595
62,INTB3,tecnologia,20224T,2023-04-03,22.92,-0.31872097,-0.16261133,0.24059266,0.28499732,0.21316187,0.28686971,0.13849605,3.3398,15.668,16.2047,15.2038,7045034.0,0.06577314,0.28387338,0.10947679,0.11322719,-0.20629663,0.01538026,30156.409
63,AURA33,mineração,20224T,2023-04-03,39.45,0.25809835,1.89569986,0.17089494,0.12486631,0.21244989,0.16031137,0.16656526,1.7247,8.118,6.1262,7.106,3237115.0,0.14072685,0.32013728,0.22450326,0.16941939,0.27582407,0.03666847,4563.686
64,B3SA3,financeiro,20224T,2023-04-03,10.58,-0.47807166,-0.50277161,0.23295445,0.22248263,0.20837984,0.19799338,0.1721868,2.9418,14.1175,10.6974,8.5731,56875481.0,0.09807168,0.89921857,0.55168128,0.41803293,-0.13771712,0.03825455,524901.845
65,TGMA3,transporte,20224T,2023-04-03,17.85,0.21015283,0.43171573,0.26038326,0.34651674,0.20813242,0.29633685,0.21810002,1.5343,7.3716,5.8503,5.1139,1141978.0,0.17616979,0.20042116,0.14679364,0.11649978,-0.04561956,0.06284167,2375.099
66,STBP3,transporte,20224T,2023-04-03,8.65,-0.25894031,-0.28825868,0.18975634,0.21062632,0.20519542,0.23515122,0.24827612,3.5713,17.4044,12.3993,8.883,7194762.0,0.08378345,0.45386447,0.312035,0.2223009,-0.13357842,0.08772791,148372.838
67,ETER3,indústria,20224T,2023-04-03,9.28,1.30273718,0.52073612,0.20729872,0.0771331,0.20362769,0.082993,0.23210219,0.8475,4.1621,3.2455,2.7426,545294.0,0.32386935,0.31324434,0.14873381,0.11598027,-0.04122147,0.07713915,2987.469
68,TTEN3,agrícola,20224T,2023-04-03,12.19,-0.31370095,0.32341135,0.17554277,0.31127416,0.20264781,0.31790758,0.13734419,2.1496,10.6074,11.2687,10.997,6275560.0,0.08567379,0.15151371,0.07808068,0.08294908,0.07695965,0.00125358,8458.537
69,MOVI3,transporte,20224T,2023-04-03,7.59,7.2087862,13.88990006,0.15523182,0.12263218,0.20096414,0.02576532,0.11793236,0.9905,4.9289,1.1348,3.8407,13638891.0,0.17719534,0.37557678,0.25174382,0.05795878,3.93560512,0.16322569,45922.975
70,GGPS3,transporte,20224T,2023-04-03,12.19,0.13743634,0.1544692,0.19959638,0.28600326,0.19945183,0.31304516,0.15811897,3.1493,15.7896,8.7682,9.4089,8760302.0,0.10628241,0.16545031,0.10099772,0.05608523,0.23012732,0.00017149,15394.044
71,BLAU3,saúde,20224T,2023-04-03,23.75,-0.12367015,-0.01208017,0.28841793,0.28998826,0.19829763,0.20518457,0.21233096,2.3235,11.7172,9.3411,8.2028,3892031.0,0.11618356,0.47471301,0.32140672,0.25622979,-0.18258859,0.03208431,15332.679
72,ROMI3,indústria,20224T,2023-04-03,17.86,0.11338593,0.86324843,0.16903201,0.30961627,0.19727624,0.32013935,0.1492712,1.3152,6.667,5.3136,5.9367,1910919.0,0.14188878,0.31955747,0.17028051,0.13571295,0.42925129,0.04872223,9914.546
73,ENGI11,energia,20224T,2023-04-03,39.94,0.23172368,-1.6998639,0.12088438,0.10465751,0.19449441,0.12268587,0.14059602,1.3023,6.6957,2.8413,5.5342,38718256.0,0.14777933,0.27132324,0.21588984,0.09161255,1.79921709,0.0972997,137665.308
74,ENGI3,energia,20224T,2023-04-03,11.48,-0.14294349,-1.48697847,0.12088438,0.10465751,0.19449441,0.12268587,0.14059602,1.8716,9.6228,4.0834,6.55,45825217.0,0.12486047,0.27132324,0.21588984,0.09161255,1.79921709,0.06770296,604.927
75,ENGI4,energia,20224T,2023-04-03,7.09,0.38773043,-1.78850674,0.12088438,0.10465751,0.19449441,0.12268587,0.14059602,1.1559,5.943,2.5219,5.2729,36890635.0,0.15510056,0.27132324,0.21588984,0.09161255,1.79921709,0.10962341,397.284
76,CSUD3,tecnologia,20224T,2023-04-03,9.95,0.53387472,0.76561076,0.26045187,0.27593529,0.19267453,0.23022894,0.22352903,1.074,5.574,3.9239,2.4646,409336.0,0.25531821,0.37498138,0.19455924,0.13696274,-0.00196676,0.07364286,2522.717
77,WHRL4,consumo,20224T,2023-04-03,4.36,-0.13290661,-0.28381472,0.32794524,0.26733827,0.19194326,0.06769377,0.22844835,3.0037,15.6489,8.6815,6.7556,6155974.0,0.1226001,0.15651571,0.06989374,0.03877479,-0.18161801,0.04426595,16.597
